;id;color;name;brand;rate_beer;features;description;image
0;1;rubia;Arriaca Radler, cerveza artesana con limón (lata);(cervezas artesanas Cervezas Arriaca);;{'Estilo de cerveza': ' Blonde Ale', 'Graduación alcohólica': ' 2,7% Alc./Vol.', 'Color': 'Rubia', 'Fermentación': 'Ale'};"
La primera cerveza Radler artesana creada en España.
Una cerveza refrescante y ligera, como no podía ser de otra manera. Elaborada en base a la reconocida Rubia de Arriaca junto con limonada de zumo de limón natural.
De colores dorados y pajizos, con una turbidez ligera y con una espuma blanca y de burbuja fina.
Notas florales propias del lúpulo e intenso aroma a cítricos. En boca, el carácter del cereal se equilibra con sabores cítricos y su acidez natural.
Perfecta para ser una cerveza de aperitivo o vermú. Muy refrescante y perfecta con arroces, ensaladas, sushi o ceviches por ejemplo.
";https://static2.soloartesanas.es/3437-large_default/arriaca-radler-con-limon.jpg
1;2;rubia;Alegría & Boris Brew Ipanosuarus Rex;(cervezas artesanas Cervezas Alegría);;{'Estilo de cerveza': ' Imperial / Double IPA', 'Graduación alcohólica': ' 8,2% Alc./Vol.', 'Amargor (según la Unidad Internacional de Amargor)': ' 60 IBUs', 'Color': 'Rubia', 'Fermentación': 'Ale', 'Población': 'Massanassa', 'Provincia': 'Valencia', 'Comunidad Autónoma': 'Valencia'};"
Una doble IPA rubia, potente y seca. Elaborada con lúpulos americanos que le aportan aromas y sabores cítricos, a pomelo, mlón y frutas dulces.
Con un alcohol bien integrado y de amargor contenido, es una Imperial IPA apta para los menos avanzandos en el mundo del lúpulo.
Cerveza en colaboración con Boris de Mesones.
";https://static3.soloartesanas.es/3333-large_default/alegria-boris-brew-ipanosuarus-rex.jpg
2;3;rubia;Roy The Bull Mango;(cervezas artesanas Roy The Bull);;{'Estilo de cerveza': ' Fruit Beer', 'Graduación alcohólica': ' 6,0% Alc./Vol.', 'Amargor (según la Unidad Internacional de Amargor)': ' 38 IBUs', 'Color': 'Rubia', 'Fermentación': 'Ale', 'Lúpulos': 'Citra', 'Población': 'Vigo', 'Provincia': 'Pontevedra', 'Comunidad Autónoma': 'Galicia'};"
Aquí está la primera cerveza de Roy The Bull. Una ale rubia elaborada con dos maltas y puré natural de mango de la India.
Esta combinación con lúpulo Citra hace de esta cerveza un imprescindible en la nevera. Apta para principiantes y expertos.
";https://static3.soloartesanas.es/3332-large_default/roy-the-bull-mango.jpg
3;4;rubia;Marijuana;(cervezas artesanas Marijuana);;{'Estilo de cerveza': ' Pale Ale', 'Graduación alcohólica': ' 5,7% Alc./Vol.', 'Color': 'Rubia', 'Fermentación': 'Ale', 'Población': 'Hoyoasero', 'Provincia': 'Ávila', 'Comunidad Autónoma': 'Castilla y León'};"
La única cerveza cerveza artesana que podrás encontrar actualmente con un toque de tequila y cáñamo.
Una cerveza ""muy canalla"" de tipo Pale Ale con tequila y cáñamo. Un sabor sorprendente gracias a la combinación del lúpulo y el cáñamo, ambos de la familia de las Cannabáceas.
Suave, fácil de beber, de trago largo y muy refrescante.
";https://static1.soloartesanas.es/3223-large_default/marijuana.jpg
4;5;rubia;Arriaca Trigo (lata);(cervezas artesanas Cervezas Arriaca);;{'Estilo de cerveza': ' Weizen - Weissbier', 'Graduación alcohólica': ' 4,7% Alc./Vol.', 'Color': 'Rubia', 'Fermentación': 'Ale', 'Población': 'Yunquera de Henares', 'Provincia': 'Guadalajara', 'Comunidad Autónoma': 'Castilla-La Mancha'};"
Una cerveza de trigo muy afrutada y ligera. Como una buena Weizen es tremendamente refrescante.
De espuma blanca duradera y un cuerpo ligero y algo turbio.
Aromas y sabores a plátano y a clavo. Nada amarga y con una carbonatación media.
";https://static2.soloartesanas.es/3449-large_default/arriaca-trigo-lata.jpg
5;6;rubia;Bertus White IPA;(cervezas artesanas Bertus);;{'Estilo de cerveza': ' White IPA', 'Graduación alcohólica': ' 6,6% Alc./Vol.', 'Amargor (según la Unidad Internacional de Amargor)': ' 50 IBUs', 'Color': 'Rubia', 'Fermentación': 'Ale', 'European Brewing Convention (EBC)': '8,1', 'Población': 'Rubí', 'Provincia': 'Barcelona', 'Comunidad Autónoma': 'Cataluña'};"
Cerveza de estilo IPA elaborada con trigo, junto a tres tipos de malta y varios lúpulos cítricos americanos.
De aspecto amarillo pajizo y con cierta turbidez.
Aromas afurtados y sabores cítricos ligeramente acaramelados.
";https://static2.soloartesanas.es/3201-large_default/bertus-white-ipa.jpg
6;7;rubia;Bertus Summer Ale;(cervezas artesanas Bertus);;{'Estilo de cerveza': ' Kölsch', 'Graduación alcohólica': ' 4,7% Alc./Vol.', 'Amargor (según la Unidad Internacional de Amargor)': ' 20 IBUs', 'Color': 'Rubia', 'Fermentación': 'Ale', 'European Brewing Convention (EBC)': '5,5', 'Población': 'Rubí', 'Provincia': 'Barcelona', 'Comunidad Autónoma': 'Cataluña'};"
De tipo Kölsch y elaborada con tres tipos de malta y dos lúpulos alemanos diferentes.
De color dorado, con poco cuerpo y un leve amargor. Ideal para refrescarte.
Aromas afrutados.
";https://static1.soloartesanas.es/3200-large_default/bertus-summer-ale.jpg
7;8;rubia;Bertus Carpe Diem;(cervezas artesanas Bertus);;{'Estilo de cerveza': ' English Pale Ale', 'Graduación alcohólica': ' 5,4% Alc./Vol.', 'Amargor (según la Unidad Internacional de Amargor)': ' 28 IBUs', 'Color': 'Rubia', 'Fermentación': 'Ale', 'European Brewing Convention (EBC)': '15,5', 'Población': 'Rubí', 'Provincia': 'Barcelona', 'Comunidad Autónoma': 'Cataluña'};"
Una Pale Ale de estilo inglés elaborada con dos tipos de maltas y un único lúpulo.
Con cuerpo y amargor medios. Recuerdos a caramelo gracias a un leve predominio de la malta sobre el lúpulo.
";https://static3.soloartesanas.es/3199-large_default/bertus-carpe-diem.jpg
8;9;rubia;90 Varas La Mala;(cervezas artesanas 90 Varas);;{'Estilo de cerveza': ' Lager', 'Graduación alcohólica': ' 4,5% Alc./Vol.', 'Amargor (según la Unidad Internacional de Amargor)': ' 12 IBUs', 'Color': 'Rubia', 'Fermentación': 'Lager', 'European Brewing Convention (EBC)': '8', 'Población': 'Cerezo de Abajo', 'Provincia': 'Segovia', 'Comunidad Autónoma': 'Castilla y León'};"
Una cerveza de baja fermentación de trago largo y muy refrescante.
Elaborada con malta base junto a un toque de Munich. El acabado sutil de esta cerveza se consigue gracias a la combinación de los lúpulos Hallertaur Hersbrucker (alemán) y Sterling (americano).
";https://static2.soloartesanas.es/3195-large_default/90-varas-la-mala.jpg
9;10;rubia;90 Varas Zerezo;(cervezas artesanas 90 Varas);;{'Estilo de cerveza': ' Weizen - Weissbier', 'Graduación alcohólica': ' 3,10% Alc./Vol.', 'Amargor (según la Unidad Internacional de Amargor)': ' 10 IBUs', 'Color': 'Rubia', 'Fermentación': 'Ale', 'European Brewing Convention (EBC)': '4', 'Población': 'Cerezo de Abajo', 'Provincia': 'Segovia', 'Comunidad Autónoma': 'Castilla y León'};"
Una versión de la tradicional cerveza de trigo de verano alemana.
Aromas y sabores a banana, aportados por las levaduras clásicas alemanas. Apoyadas por el uso del lúpulo, también de origen alemán, Hallertauer Hersbrucker.
";https://static2.soloartesanas.es/3194-large_default/90-varas-zerezo.jpg
10;11;rubia;Althaia Rabosa;(cervezas artesanas Althaia Artesana);;{'Estilo de cerveza': ' Pumpkin Ale', 'Graduación alcohólica': ' 5,8% Alc./Vol.', 'Amargor (según la Unidad Internacional de Amargor)': ' 35 IBUs', 'Color': 'Rubia', 'Fermentación': 'Ale', 'Población': 'Altea', 'Provincia': 'Alicante', 'Comunidad Autónoma': 'Valencia'};"
Una Pumpkin Ale elaborada con calabaza asada y especias.
De color cobrizo anaranjado y con un cuerpo medio destaca por sus notas especiadas.
Una cerveza dulce que te recordará en boca a un pastel de calabaza o a galletas de jengibre.
¡Edición limitada ideal para el otoño!
";https://static2.soloartesanas.es/3181-large_default/althaia-rabosa.jpg
11;12;rubia;Mica Raíz;(cervezas artesanas Cervezas Mica);;{'Estilo de cerveza': ' India Pale Ale - IPA', 'Graduación alcohólica': ' 6,7% Alc./Vol.', 'Color': 'Rubia', 'Fermentación': 'Ale', 'Población': 'Aranda de Duero', 'Provincia': 'Burgos', 'Comunidad Autónoma': 'Castilla y León'};"
Una IPA elaborada con tomillo fresco de la Ribera del Duero.
Con un color levemente tostado y aromas ""a campo y monte"" que recuerdan a tomillo y que se equilibran con el aroma a caramelo propio de la malta.
En boca, un primer toque dulce da paso al amargor propio de una Indian Pale Ale.
";https://static1.soloartesanas.es/3092-large_default/mica-raiz.jpg
12;13;rubia;Arriaca Session IPA (lata);(cervezas artesanas Cervezas Arriaca);;{'Estilo de cerveza': ' Session IPA', 'Graduación alcohólica': ' 3,6% Alc./Vol.', 'Color': 'Rubia', 'Fermentación': 'Ale', 'Población': 'Yunquera de Henares', 'Provincia': 'Guadalajara', 'Comunidad Autónoma': 'Castilla-La Mancha'};"
Una Session IPA refrescante y ligera. De color dorado intenso, muy brillante, y con una espuma blanca y persistente.
Aromas a lúpulo con notas cítricas y tropicales con matices resinosos.
En boca, el amargor del lúpulo y los recuerdos cítricos y tropicales la hacen muy fácil de beber.
";https://static3.soloartesanas.es/3447-large_default/arriaca-session-ipa-lata.jpg
13;14;rubia;OOB Hoppy Blonde;(cervezas artesanas OOB);;{'Estilo de cerveza': ' Blonde Ale', 'Graduación alcohólica': ' 5,1% Alc./Vol.', 'Amargor (según la Unidad Internacional de Amargor)': ' 26 IBUs', 'Color': 'Rubia', 'Fermentación': 'Ale', 'Maltas': 'Pale, Vienna, malta de trigo y Cara-pils', 'Lúpulos': 'Chinook, citra, mosaic, mandarina bavaria y melón', 'Población': 'Barcelona', 'Provincia': 'Barcelona', 'Comunidad Autónoma': 'Cataluña'};"
Dorada y ligeramente turbia. Una Blonde Ale con un claro aroma marcado por los lúpulos empleados en su elaboración. De hecho, más que Blonde Ale, estás ante una Hoppy Blonde Ale.
Recuerdos tropicales, intensos y agradables caracteres frutales.
Ligera y tremendamente refrescante.
";https://static1.soloartesanas.es/3050-large_default/oob-hoppy-blonde.jpg
14;15;rubia;Familia Serra Maula;(cervezas artesanas Familia Serra);;{'Estilo de cerveza': ' Pale Ale', 'Graduación alcohólica': ' 5,4% Alc./Vol.', 'Amargor (según la Unidad Internacional de Amargor)': ' 30 IBUs', 'Color': 'Rubia', 'Fermentación': 'Ale', 'Población': 'Corbera', 'Provincia': 'Valencia', 'Comunidad Autónoma': 'Valencia', 'Temperatura de consumo': '6-8 ºC'};"
Pale Ale de amargor leve, de colores cobrizos y un ligero recuerdo a hierbas en aroma.
En su elaboración se emplean naranjas sanguinas naturales, que consiguen aromas cítricos leves.
";https://static2.soloartesanas.es/3040-large_default/maula.jpg
15;16;rubia;Familia Serra Butoni;(cervezas artesanas Familia Serra);;{'Estilo de cerveza': ' Golden Ale', 'Graduación alcohólica': ' 5,1% Alc./Vol.', 'Amargor (según la Unidad Internacional de Amargor)': ' 20 IBUs', 'Color': 'Rubia', 'Fermentación': 'Ale', 'Población': 'Corbera', 'Provincia': 'Valencia', 'Comunidad Autónoma': 'Valencia', 'Temperatura de consumo': '6-8 ºC'};"
Cerveza Golden Ale elaborada con naranjas recién recolectadas.
De tonos dorados intensos y con un amargor leve.
Recuerdos cítricos con notas afrutadas, provenientes de la naranja.
";https://static3.soloartesanas.es/3039-large_default/butoni.jpg
16;17;rubia;Familia Serra Mussa;(cervezas artesanas Familia Serra);;{'Estilo de cerveza': ' Witbier (Belgian White)', 'Graduación alcohólica': ' 4,7% Alc./Vol.', 'Amargor (según la Unidad Internacional de Amargor)': ' 18 IBUs', 'Color': 'Rubia', 'Fermentación': 'Ale', 'Población': 'Corbera', 'Provincia': 'Valencia', 'Comunidad Autónoma': 'Valencia', 'Temperatura de consumo': '6-8 ºC'};"
Cerveza de trigo con un toque cítrico a limón.
Elaborada con limones naturales recién recogidos. De color dorado tenue.
Aromas y recuerdos cítricos propios del limón.
";https://static1.soloartesanas.es/3038-large_default/mussa.jpg
17;18;rubia;Sargs IPA;(cervezas artesanas Sargs);;{'Estilo de cerveza': ' India Pale Ale - IPA', 'Graduación alcohólica': ' 6,0% Alc./Vol.', 'Amargor (según la Unidad Internacional de Amargor)': ' 70 IBUs', 'Color': 'Rubia', 'Fermentación': 'Ale', 'Población': 'Logroño', 'Provincia': 'La Rioja', 'Comunidad Autónoma': 'La Rioja'};"
Una IPA de largo recorrido, con recuerdos tropicales y un amargor marcado.
La malta se deja apreciar en el paso por boca dejando un dulzor característico agradable. Predominan aromas y sabores tropicales y cítricos gracias a los lúpulos empleados en su elaboración.
";https://static1.soloartesanas.es/3032-large_default/sargs-ipa.jpg
