id;color;name;brand;description;image;Estilo;Graduación;Fermentación;IBU;Lúpulos;European Brewing Convention (EBC);Maltas;Temperatura de consumo;Grano;Población;Provincia;Comunidad Autónoma;País
2;rubia;Alegría & Boris Brew Ipanosuarus Rex;Cervezas Alegría;"
Una doble IPA rubia, potente y seca. Elaborada con lúpulos americanos que le aportan aromas y sabores cítricos, a pomelo, mlón y frutas dulces.
Con un alcohol bien integrado y de amargor contenido, es una Imperial IPA apta para los menos avanzandos en el mundo del lúpulo.
Cerveza en colaboración con Boris de Mesones.
";https://static3.soloartesanas.es/3333-large_default/alegria-boris-brew-ipanosuarus-rex.jpg; Imperial / Double IPA;8.2;Ale;60.0;;;;;;Massanassa;Valencia;Valencia;España
3;rubia;Roy The Bull Mango;Roy The Bull;"
Aquí está la primera cerveza de Roy The Bull. Una ale rubia elaborada con dos maltas y puré natural de mango de la India.
Esta combinación con lúpulo Citra hace de esta cerveza un imprescindible en la nevera. Apta para principiantes y expertos.
";https://static3.soloartesanas.es/3332-large_default/roy-the-bull-mango.jpg; Fruit Beer;6.0;Ale;38.0;Citra;;;;;Vigo;Pontevedra;Galicia;España
4;rubia;Marijuana;Marijuana;"
La única cerveza cerveza artesana que podrás encontrar actualmente con un toque de tequila y cáñamo.
Una cerveza ""muy canalla"" de tipo Pale Ale con tequila y cáñamo. Un sabor sorprendente gracias a la combinación del lúpulo y el cáñamo, ambos de la familia de las Cannabáceas.
Suave, fácil de beber, de trago largo y muy refrescante.
";https://static1.soloartesanas.es/3223-large_default/marijuana.jpg; Pale Ale;5.7;Ale;999.0;;;;;;Hoyoasero;Ávila;Castilla y León;España
5;rubia;Arriaca Trigo (lata);Cervezas Arriaca;"
Una cerveza de trigo muy afrutada y ligera. Como una buena Weizen es tremendamente refrescante.
De espuma blanca duradera y un cuerpo ligero y algo turbio.
Aromas y sabores a plátano y a clavo. Nada amarga y con una carbonatación media.
";https://static2.soloartesanas.es/3449-large_default/arriaca-trigo-lata.jpg; Weizen - Weissbier;4.7;Ale;999.0;;;;;;Yunquera de Henares;Guadalajara;Castilla-La Mancha;España
6;rubia;Bertus White IPA;Bertus;"
Cerveza de estilo IPA elaborada con trigo, junto a tres tipos de malta y varios lúpulos cítricos americanos.
De aspecto amarillo pajizo y con cierta turbidez.
Aromas afurtados y sabores cítricos ligeramente acaramelados.
";https://static2.soloartesanas.es/3201-large_default/bertus-white-ipa.jpg; White IPA;6.6;Ale;50.0;;8,1;;;;Rubí;Barcelona;Cataluña;España
7;rubia;Bertus Summer Ale;Bertus;"
De tipo Kölsch y elaborada con tres tipos de malta y dos lúpulos alemanos diferentes.
De color dorado, con poco cuerpo y un leve amargor. Ideal para refrescarte.
Aromas afrutados.
";https://static1.soloartesanas.es/3200-large_default/bertus-summer-ale.jpg; Kölsch;4.7;Ale;20.0;;5,5;;;;Rubí;Barcelona;Cataluña;España
8;rubia;Bertus Carpe Diem;Bertus;"
Una Pale Ale de estilo inglés elaborada con dos tipos de maltas y un único lúpulo.
Con cuerpo y amargor medios. Recuerdos a caramelo gracias a un leve predominio de la malta sobre el lúpulo.
";https://static3.soloartesanas.es/3199-large_default/bertus-carpe-diem.jpg; English Pale Ale;5.4;Ale;28.0;;15,5;;;;Rubí;Barcelona;Cataluña;España
9;rubia;90 Varas La Mala;90 Varas;"
Una cerveza de baja fermentación de trago largo y muy refrescante.
Elaborada con malta base junto a un toque de Munich. El acabado sutil de esta cerveza se consigue gracias a la combinación de los lúpulos Hallertaur Hersbrucker (alemán) y Sterling (americano).
";https://static2.soloartesanas.es/3195-large_default/90-varas-la-mala.jpg; Lager;4.5;Lager;12.0;;8;;;;Cerezo de Abajo;Segovia;Castilla y León;España
10;rubia;90 Varas Zerezo;90 Varas;"
Una versión de la tradicional cerveza de trigo de verano alemana.
Aromas y sabores a banana, aportados por las levaduras clásicas alemanas. Apoyadas por el uso del lúpulo, también de origen alemán, Hallertauer Hersbrucker.
";https://static2.soloartesanas.es/3194-large_default/90-varas-zerezo.jpg; Weizen - Weissbier;3.1;Ale;10.0;;4;;;;Cerezo de Abajo;Segovia;Castilla y León;España
11;rubia;Althaia Rabosa;Althaia Artesana;"
Una Pumpkin Ale elaborada con calabaza asada y especias.
De color cobrizo anaranjado y con un cuerpo medio destaca por sus notas especiadas.
Una cerveza dulce que te recordará en boca a un pastel de calabaza o a galletas de jengibre.
¡Edición limitada ideal para el otoño!
";https://static2.soloartesanas.es/3181-large_default/althaia-rabosa.jpg; Pumpkin Ale;5.8;Ale;35.0;;;;;;Altea;Alicante;Valencia;España
12;rubia;Mica Raíz;Cervezas Mica;"
Una IPA elaborada con tomillo fresco de la Ribera del Duero.
Con un color levemente tostado y aromas ""a campo y monte"" que recuerdan a tomillo y que se equilibran con el aroma a caramelo propio de la malta.
En boca, un primer toque dulce da paso al amargor propio de una Indian Pale Ale.
";https://static1.soloartesanas.es/3092-large_default/mica-raiz.jpg; India Pale Ale;6.7;Ale;999.0;;;;;;Aranda de Duero;Burgos;Castilla y León;España
13;rubia;Arriaca Session IPA (lata);Cervezas Arriaca;"
Una Session IPA refrescante y ligera. De color dorado intenso, muy brillante, y con una espuma blanca y persistente.
Aromas a lúpulo con notas cítricas y tropicales con matices resinosos.
En boca, el amargor del lúpulo y los recuerdos cítricos y tropicales la hacen muy fácil de beber.
";https://static3.soloartesanas.es/3447-large_default/arriaca-session-ipa-lata.jpg; Session IPA;3.6;Ale;999.0;;;;;;Yunquera de Henares;Guadalajara;Castilla-La Mancha;España
14;rubia;OOB Hoppy Blonde;OOB;"
Dorada y ligeramente turbia. Una Blonde Ale con un claro aroma marcado por los lúpulos empleados en su elaboración. De hecho, más que Blonde Ale, estás ante una Hoppy Blonde Ale.
Recuerdos tropicales, intensos y agradables caracteres frutales.
Ligera y tremendamente refrescante.
";https://static1.soloartesanas.es/3050-large_default/oob-hoppy-blonde.jpg; Blonde Ale;5.1;Ale;26.0;Chinook, citra, mosaic, mandarina bavaria y melón;;Pale, Vienna, malta de trigo y Cara-pils;;;Barcelona;Barcelona;Cataluña;España
15;rubia;Familia Serra Maula;Familia Serra;"
Pale Ale de amargor leve, de colores cobrizos y un ligero recuerdo a hierbas en aroma.
En su elaboración se emplean naranjas sanguinas naturales, que consiguen aromas cítricos leves.
";https://static2.soloartesanas.es/3040-large_default/maula.jpg; Pale Ale;5.4;Ale;30.0;;;;6-8 ºC;;Corbera;Valencia;Valencia;España
16;rubia;Familia Serra Butoni;Familia Serra;"
Cerveza Golden Ale elaborada con naranjas recién recolectadas.
De tonos dorados intensos y con un amargor leve.
Recuerdos cítricos con notas afrutadas, provenientes de la naranja.
";https://static3.soloartesanas.es/3039-large_default/butoni.jpg; Golden Ale;5.1;Ale;20.0;;;;6-8 ºC;;Corbera;Valencia;Valencia;España
17;rubia;Familia Serra Mussa;Familia Serra;"
Cerveza de trigo con un toque cítrico a limón.
Elaborada con limones naturales recién recogidos. De color dorado tenue.
Aromas y recuerdos cítricos propios del limón.
";https://static1.soloartesanas.es/3038-large_default/mussa.jpg; Witbier;4.7;Ale;18.0;;;;6-8 ºC;;Corbera;Valencia;Valencia;España
18;rubia;Sargs IPA;Sargs;"
Una IPA de largo recorrido, con recuerdos tropicales y un amargor marcado.
La malta se deja apreciar en el paso por boca dejando un dulzor característico agradable. Predominan aromas y sabores tropicales y cítricos gracias a los lúpulos empleados en su elaboración.
";https://static1.soloartesanas.es/3032-large_default/sargs-ipa.jpg; India Pale Ale;6.0;Ale;70.0;;;;;;Logroño;La Rioja;La Rioja;España
19;rubia;Birra & Blues Mago de Oz;Birra & Blues;"
La banda de rock Mago de Oz ya tiene su propia cerveza artesana.
Presentada en junio de 2017, esta Blonde Ale es una cerveza ligera, rubia y muy fácil de beber. Elaborada con cuatro tipos de malta de cebada y dos variedades de lúpulo cultivado en España.
Limpia, refrescante y con recuerdos frutales.
No tenemos duda de que este verano sonará mucho la música de Mago de Oz mientras brindas una de sus cervezas. Después de todo ya lo dice su canción... ""Alza tu cerveza, brinda por la libertad. Bebe y vente de fiesta..."".
";https://static1.soloartesanas.es/3014-large_default/birra-blues-mago-de-oz.jpg; Blonde Ale;4.5;Ale;21.0;;7;;;;sin especificar;Valencia;Valencia;España
20;rubia;Laugar Basurde;Laugar;"
Una Amber Ale de intenso color ambarino y con un marcado aroma a lúpulo.
Predomina en aromas y sabores la malta levemente sobre el lúpulo con un final seco.
Muy fácil de beber.
";https://static2.soloartesanas.es/2958-large_default/laugar-basurde.jpg; Amber Ale;5.2;Ale;40.0;;;;;;Gordexola;Vizcaya;País Vasco;España
